,Unnamed: 0,year,negative,positive,Topic,decade,num_conflicts,avg_hostility,total_fatalities,life_expectancy,democracy_frequency,economy_frequency,equality_frequency,freedom_frequency,justice_frequency,liberty_frequency,num_conflicts_lag1,avg_hostility_lag1,total_fatalities_lag1,num_conflicts_lag5,avg_hostility_lag5,total_fatalities_lag5,num_conflicts_lag10,avg_hostility_lag10,total_fatalities_lag10,log_gdp_percap,log_sentiment
1122,1306,1921-01-01,0.0,0.0,democracy_frequency,1920,3.0,2.6666666666666665,0.0,54.66,0.4678742785818735,0.1048147216450317,0.1648324508283423,0.1725111322178695,0.2298431788881742,0.2444197990767932,3.0,2.6666666666666665,0.0,3.0,2.6666666666666665,0.0,0.0,0.0,0.0,8.736020413743711,2.0255027807372563e-05
335,335,1921-01-01,0.0378,0.08465,Liberty,1920,3.0,2.6666666666666665,0.0,54.66,0.4678742785818735,0.1048147216450317,0.1648324508283423,0.1725111322178695,0.2298431788881742,0.2444197990767932,3.0,2.6666666666666665,0.0,3.0,2.6666666666666665,0.0,3.0,2.6666666666666665,0.0,8.736020413743711,0.6421591027469716
973,1105,1921-01-01,0.0,0.0,equality_frequency,1920,3.0,2.6666666666666665,0.0,54.66,0.4678742785818735,0.1048147216450317,0.1648324508283423,0.1725111322178695,0.2298431788881742,0.2444197990767932,3.0,2.6666666666666665,0.0,3.0,2.6666666666666665,0.0,3.0,2.6666666666666665,0.0,8.736020413743711,1.0512684080405276e-05
336,336,1922-01-01,0.0472,0.0937,Liberty,1920,0.0,0.0,0.0,55.22,0.3788047896275522,0.0955631164731241,0.1635060593495724,0.1349832567574055,0.2138651542249662,0.2227565595029243,3.0,2.6666666666666665,0.0,3.0,2.6666666666666665,0.0,3.0,2.6666666666666665,0.0,8.75435265393472,0.6419196734820465
1570,1910,1922-01-01,0.0,0.0,liberty_frequency,1920,0.0,0.0,0.0,55.22,0.3788047896275522,0.0955631164731241,0.1635060593495724,0.1349832567574055,0.2138651542249662,0.2227565595029243,0.0,0.0,0.0,3.0,2.6666666666666665,0.0,3.0,2.6666666666666665,0.0,8.75435265393472,3.080009489265354e-05
4,4,1922-01-01,0.04865,0.0869,Economy,1920,0.0,0.0,0.0,55.22,0.3788047896275522,0.0955631164731241,0.1635060593495724,0.1349832567574055,0.2138651542249662,0.2227565595029243,0.0,0.0,0.0,3.0,2.6666666666666665,0.0,3.0,2.6666666666666665,0.0,8.75435265393472,0.6398624308567088
676,706,1922-01-01,0.0,0.0,Life_expectancy,1920,0.0,0.0,0.0,55.22,0.3788047896275522,0.0955631164731241,0.1635060593495724,0.1349832567574055,0.2138651542249662,0.2227565595029243,0.0,0.0,0.0,3.0,2.6666666666666665,0.0,3.0,2.6666666666666665,0.0,8.75435265393472,4.029272565478386
1123,1307,1922-01-01,0.0,0.0,democracy_frequency,1920,0.0,0.0,0.0,55.22,0.3788047896275522,0.0955631164731241,0.1635060593495724,0.1349832567574055,0.2138651542249662,0.2227565595029243,0.0,0.0,0.0,3.0,2.6666666666666665,0.0,3.0,2.6666666666666665,0.0,8.75435265393472,1.714333393522427e-05
974,1106,1922-01-01,0.0,0.0,equality_frequency,1920,0.0,0.0,0.0,55.22,0.3788047896275522,0.0955631164731241,0.1635060593495724,0.1349832567574055,0.2138651542249662,0.2227565595029243,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.6666666666666665,0.0,8.75435265393472,1.0500274805217154e-05
222,222,1922-01-01,0.06355,0.1063,Freedom,1920,0.0,0.0,0.0,55.22,0.3788047896275522,0.0955631164731241,0.1635060593495724,0.1349832567574055,0.2138651542249662,0.2227565595029243,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.6666666666666665,0.0,8.75435265393472,0.5874616120781735
413,413,1922-01-01,0.0536,0.1139,Democracy,1920,0.0,0.0,0.0,55.22,0.3788047896275522,0.0955631164731241,0.1635060593495724,0.1349832567574055,0.2138651542249662,0.2227565595029243,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.6666666666666665,0.0,8.75435265393472,0.6416617624546572
1421,1709,1922-01-01,0.0,0.0,justice_frequency,1920,0.0,0.0,0.0,55.22,0.3788047896275522,0.0955631164731241,0.1635060593495724,0.1349832567574055,0.2138651542249662,0.2227565595029243,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.6666666666666665,0.0,8.75435265393472,5.589579663489762e-05
